epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,458.179,1.5508,3.88127,1.37885,0.00543,0.8869,0.11711,0.03263,1.52324,3.82349,1.30075,0.00010002,0.00010002,0.00010002
2,851.139,1.45564,2.89351,1.32564,0.00568,0.89881,0.43988,0.21797,1.42215,3.6173,1.1943,0.000214565,0.000214565,0.000214565
3,1220.55,1.41949,2.12466,1.21481,0.0054,0.8631,0.5405,0.27961,1.4582,3.6184,1.2258,0.000326799,0.000326799,0.000326799
4,1680.07,1.32408,1.87847,1.17009,0.00429,0.75595,0.39156,0.19793,1.46655,3.63189,1.27224,0.000436722,0.000436722,0.000436722
5,2082.34,1.2758,1.80913,1.16474,0.00406,0.6131,0.03448,0.01464,1.46063,3.48652,1.2918,0.000544336,0.000544336,0.000544336
6,2414.52,1.35886,1.7839,1.18494,0.00202,0.47024,0.00893,0.0017,1.49389,3.59361,1.34223,0.000649638,0.000649638,0.000649638
7,2763.87,1.30323,1.64558,1.18268,0.00556,0.7381,0.32114,0.16998,1.50033,3.39074,1.42098,0.00075263,0.00075263,0.00075263
8,3075.7,1.31774,1.41328,1.17568,0.00408,0.64881,0.55903,0.3239,1.55748,3.52006,1.51999,0.000853312,0.000853312,0.000853312
9,3359.81,1.29695,1.50803,1.18345,1,0.24035,0.55807,0.30883,1.67097,3.54135,1.58741,0.000951684,0.000951684,0.000951684
10,3654.57,1.30614,1.51454,1.16672,1,0.21783,0.64833,0.37513,1.67326,3.28462,1.54061,0.00104774,0.00104774,0.00104774
11,3935.34,1.28104,1.35104,1.14349,1,0.29928,0.63592,0.34376,1.71489,3.24728,1.57234,0.00114149,0.00114149,0.00114149
12,4208.36,1.26866,1.42946,1.15359,1,0.58341,0.8253,0.45081,1.62237,2.55072,1.42987,0.00123293,0.00123293,0.00123293
13,4466.52,1.24825,1.34383,1.12078,0.91557,0.71491,0.85579,0.46718,1.61527,2.29205,1.41794,0.00132206,0.00132206,0.00132206
